config,step,session_id,turns,reasoning_nonempty,content_nonempty,reasoning_exact,reasoning_near80,reasoning_near60,content_exact,content_near80,content_near60
8 GPU,0,924a2a51-1e62-4466-a4f3-0ff6b1c4f9a5,30,30,10,1,1,1,1,1,1
8 GPU,0,31c6ff3a-2966-47f5-919b-6e7d47049b88,62,62,18,1,1,1,1,1,1
8 GPU,0,2f62a6b4-9c9a-4c5d-9ed4-f02735346e99,11,11,5,1,1,1,1,1,1
8 GPU,0,347680e1-79a7-43f3-8f6a-155fe74bcaf2,72,72,32,1,1,1,1,1,1
8 GPU,0,f9ecac32-56f0-4936-9af4-6c84839ddbf5,5,5,4,1,1,1,1,1,1
8 GPU,0,08aa9066-f927-4e1e-8018-2021470c2b70,20,20,7,1,1,1,1,1,1
8 GPU,0,b36b4f98-f735-4973-8c62-1eb136ca4d94,18,18,10,1,1,1,1,1,1
8 GPU,0,2fbed379-d2d2-477c-a449-fff242085929,19,19,13,1,1,1,1,1,1
8 GPU,0,9d453821-9132-4ac4-a5a9-19e9114410c0,7,7,3,1,1,1,1,1,1
8 GPU,0,fb5e644d-b024-4fa5-8aed-c1da053c237c,2,2,2,1,1,1,1,1,1
8 GPU,0,f730f255-6ecd-4d5a-a948-399017713e9a,2,2,2,1,1,1,1,1,1
8 GPU,0,05ed8511-1c6d-463e-95f3-2d56b23d7431,1,1,1,1,1,1,1,1,1
8 GPU,0,2b63c72c-f7d9-4520-887e-41d873eccf1a,53,53,4,1,1,1,1,1,1
8 GPU,0,fefb138a-851b-40b6-9f7b-fd9242017a11,45,45,16,1,1,1,1,1,1
8 GPU,0,af9b4f23-ecb8-417e-b7b2-865fa847f63b,102,102,29,1,1,1,1,1,1
8 GPU,0,7014a147-97a4-4916-9ec3-dcbe4f078637,9,9,4,1,1,1,1,1,1
8 GPU,0,7769852d-8a2f-4307-86d1-740e4ae5acd4,11,11,5,1,1,1,1,1,1
8 GPU,0,8f4b9bc9-5ec8-4e76-a70e-01d4e2c0dec6,33,33,13,1,1,1,1,1,1
8 GPU,0,9c98cf21-b356-4939-a098-cfca3162eb68,6,6,3,1,1,1,1,1,1
8 GPU,0,a3b25729-3584-4175-9e8f-f10b0fc45e1a,21,21,5,1,1,1,1,1,1
8 GPU,0,40d33a0b-b33c-4a10-9ad0-8e30f90679de,5,5,3,1,1,1,1,1,1
8 GPU,0,eb6fa99c-d4e6-4c4b-a630-582f15bd5e20,52,52,17,1,1,1,1,1,1
8 GPU,0,1c39db05-1b70-4c4c-b2a4-8eacc4193482,32,32,13,1,1,1,1,1,1
8 GPU,0,af33ffea-bfc7-4f45-a797-a136607ac381,38,38,12,1,1,1,1,1,1
8 GPU,0,35c023fd-792b-41e3-9665-d84657027f6e,2,2,1,1,1,1,1,1,1
8 GPU,0,77e82b4c-68f9-4a3e-85e4-3588c71dc9fc,8,8,1,1,1,1,1,1,1
8 GPU,0,7537d6c1-0a1d-43c9-9976-4bbd3eb6e218,2,2,1,1,1,1,1,1,1
8 GPU,0,d1630fa7-af11-4a28-90b7-16f0c7d39f0c,6,6,2,1,1,1,1,1,1
8 GPU,0,9e727c48-3e7a-4a28-8a9b-84af94a32f71,5,5,3,1,1,1,1,1,1
8 GPU,0,602bbda5-c8bd-4f05-9e9c-a39f5064e0d4,64,64,37,1,1,1,1,1,1
8 GPU,0,10b9cd9d-efbf-4dab-9273-0c5f907debc7,26,26,11,1,1,1,1,1,1
8 GPU,0,fbfaaa64-f14e-4958-9660-629ebd8d4efe,45,45,18,1,1,1,1,1,1
8 GPU,0,13c3e8f0-d5c6-49a6-bd3e-a29e4fef352b,18,18,3,1,1,1,1,1,1
8 GPU,0,de086cb9-bd68-4db2-ad8a-22e883215dd0,9,9,4,1,1,1,1,1,1
8 GPU,0,4ec742bc-2e9a-4146-b831-708634be578b,5,5,3,1,1,1,1,1,1
8 GPU,0,c51af36a-2a97-49b4-af2e-a6534f909fa8,4,4,2,1,1,1,1,1,1
8 GPU,0,8d61e924-7d10-4626-a3cd-81b8e75d8000,6,6,2,1,1,1,1,1,1
8 GPU,0,0544f301-b83c-4eb9-a157-3303acc5a388,4,4,2,1,1,1,1,1,1
8 GPU,0,4987505e-c0a6-4355-98c1-6758b2b92c1f,4,4,2,1,1,1,1,1,1
8 GPU,0,223d1473-3561-40da-a41d-f567726885ab,4,4,3,1,1,1,1,1,1
8 GPU,0,ea4ccee1-095d-43da-92c0-37177e448c1e,4,4,1,1,1,1,1,1,1
8 GPU,0,789a4284-ed34-4b9c-9af0-5e16e50a9251,17,17,7,1,1,1,1,1,1
8 GPU,0,4ca903f2-7e35-4ce8-bf31-a84cd8a84293,41,41,16,1,1,1,1,1,1
8 GPU,0,03e1a3b2-135e-4074-8140-1d9a0cc473b8,64,64,17,1,1,1,1,1,1
8 GPU,0,f74d48f7-42c5-4884-b1f2-4d24b4cfefd3,13,13,5,1,1,1,1,1,1
8 GPU,0,ed8d7b31-e397-499f-ae45-ba99e6978493,21,21,15,1,1,1,1,1,1
8 GPU,0,96856a9a-49cc-4244-a853-1b99162228a5,57,57,45,1,1,1,1,1,1
8 GPU,0,e8e7e7d8-2c98-46fb-aad5-8720064675f6,85,85,17,1,1,1,1,1,1
8 GPU,0,99ad008f-8856-4c0a-a161-82f211bbce32,50,50,12,1,1,1,1,1,1
8 GPU,0,6f2c5178-9b47-42e0-8286-8d0ab94f68d0,8,8,6,1,1,1,1,1,1
8 GPU,0,7f6dfa00-f572-4ea1-9696-49b7a880f427,54,54,20,1,1,1,1,1,1
8 GPU,0,2611295c-3951-4af3-bea6-5fb9a9535348,10,10,2,1,1,1,1,1,1
8 GPU,0,f5e9c331-342f-4d2d-989c-09b9d4f1d29f,16,16,9,1,1,1,1,1,1
8 GPU,0,35b2c659-ceaa-4b8e-9898-109c3a9b5b9e,24,24,6,1,1,1,1,1,1
8 GPU,0,89c3809b-1f51-4e7f-9676-8186ca3c49d7,65,65,10,1,1,1,1,1,1
8 GPU,0,c8241d7d-d727-49ce-8ef5-85c9cc04c108,73,73,31,1,1,1,1,1,1
8 GPU,0,1ca22b80-e3e5-4072-9342-cee1872b87e3,37,37,20,1,1,1,1,1,1
8 GPU,0,9513a336-e747-4ebe-9f25-480ff66feddc,32,32,8,1,1,1,1,1,1
8 GPU,0,ef779f55-28ea-4da5-8324-ffb0c37c3f20,117,117,31,1,1,1,1,1,1
8 GPU,0,0ff4759c-6359-49c6-8e16-6fd36bde27cd,27,27,6,1,1,1,1,1,1
8 GPU,0,fed0d860-e86a-4b85-9daa-d895a916e94b,40,40,5,1,1,1,1,1,1
8 GPU,0,9ec4e10f-325b-4a79-bc0a-770e7b40d109,28,28,7,1,1,1,1,1,1
8 GPU,0,e379cfa4-c972-4841-bb85-61c37b5baef7,65,65,31,1,1,1,1,1,1
8 GPU,0,c6be596a-5e70-4f47-abd8-1b46af4b0e2a,35,35,20,1,1,1,1,1,1
8 GPU,0,bb0ad124-091b-4352-844b-a588aa72c9d2,34,34,14,1,1,1,1,1,1
8 GPU,0,52d1e77d-a029-4c27-97dc-8a2a0b4b3ccd,57,57,17,1,1,1,1,1,1
8 GPU,0,5d35c54a-cf6a-45fb-bc5e-db9547ad1685,2,2,1,1,1,1,1,1,1
8 GPU,0,ba80e6ce-ed81-4da5-b615-44c05f4dfcad,21,21,6,1,1,1,1,1,1
8 GPU,0,92689d4a-af8d-42e5-98f5-f0936c247e06,34,34,9,1,1,1,1,1,1
8 GPU,0,12064855-b638-432d-9f8c-8310b3a88220,7,7,5,1,1,1,1,1,1
8 GPU,0,3c9075d9-30fa-4ce6-a37d-2cf0a7633a54,1,1,1,1,1,1,1,1,1
8 GPU,0,d0fb8c7c-0059-4621-94b5-39ebec940cc6,10,10,6,1,1,1,1,1,1
8 GPU,0,cae5b2c6-924e-4cfe-b8aa-8c740ab5c2b1,1,1,1,1,1,1,1,1,1
8 GPU,0,fdd429c3-3fac-435b-9f48-731a4f9f6cb4,6,6,3,1,1,1,1,1,1
8 GPU,1,d64193ad-eaf2-4c7a-9c80-d0243bf993a4,18,18,3,1,1,1,1,1,1
8 GPU,1,c251b6dd-16a0-4ead-8c4b-49e0217158cc,2,2,0,1,1,1,0,0,0
8 GPU,1,0df17605-5964-4f66-80fe-f56e7c22dfd9,52,52,8,1,1,1,1,1,1
8 GPU,1,406294e8-eab0-4599-9515-8951149d022b,4,4,3,1,1,1,1,1,1
8 GPU,1,8142bf2d-b099-4bf9-bbd7-cdb268201e7a,17,17,2,1,1,1,1,1,1
8 GPU,1,ecfbcfc2-2b20-4dfb-a7fb-a41966bfabac,22,22,1,1,1,1,1,1,1
8 GPU,1,979d927e-749f-41b5-8152-2fb7aacf3725,3,3,2,1,1,1,1,1,1
8 GPU,1,bdbddabd-3598-4e28-9cc2-590e3c3bcd33,4,4,3,1,1,1,1,1,1
8 GPU,1,eeae246d-37f7-47b1-baee-1b464274e936,41,41,2,1,1,1,1,1,1
8 GPU,1,5ead579e-83a7-4517-af88-6e36d3d627b9,20,20,4,1,1,1,1,1,1
8 GPU,1,89d4ec89-c52a-463c-b9a2-b8ccd67d1012,1,1,1,1,1,1,1,1,1
8 GPU,1,ddc54c6b-081d-4c4e-a823-1d39e8823fdc,48,48,4,1,1,1,1,1,1
8 GPU,1,0084c41e-f8f1-4ebb-9f0a-b85900c49bdd,53,53,1,1,1,1,1,1,1
8 GPU,1,e99b511a-1d62-4077-ad3e-691d7fa344e2,15,15,1,1,1,1,1,1,1
8 GPU,1,1dc480fe-f7c4-4714-9a33-c3f801857df0,65,65,26,1,1,1,1,1,1
8 GPU,1,7a6720f4-5832-4355-97e9-2047b82a50e8,44,44,10,1,1,1,1,1,1
8 GPU,1,eb180e75-379a-4909-b9b9-26a14defed18,39,39,2,1,1,1,1,1,1
8 GPU,1,a4d34330-f207-4f30-8b64-5c2c10839551,35,35,11,1,1,1,1,1,1
8 GPU,1,6e1293c0-e811-445f-b584-110bcb3fe18c,2,0,2,0,0,0,1,1,1
8 GPU,1,d7c4b46f-3f2e-47ea-9c4e-865cc4255d08,2,2,1,1,1,1,1,1,1
8 GPU,1,01802a42-c8c6-4f1e-b1f4-8908e1b8d246,1,1,0,1,1,1,0,0,0
8 GPU,1,eecefccf-06d2-41d1-b69b-547641ab3c86,48,48,20,1,1,1,1,1,1
8 GPU,1,a2c84352-fe4a-46c4-b2a4-b48830e287a0,28,28,6,1,1,1,1,1,1
8 GPU,1,85746bac-2ee5-48e3-b8aa-28ec3236242a,2,2,2,1,1,1,1,1,1
8 GPU,1,784d23c8-e522-4d21-9969-2cded74cbbe1,1,1,1,1,1,1,1,1,1
8 GPU,1,f0ccda94-83c7-42c8-be98-a8e2a799a4ce,39,39,5,1,1,1,1,1,1
8 GPU,1,a4558dbc-757b-433c-9227-7acfea73133b,9,9,3,1,1,1,1,1,1
8 GPU,1,1f7a3e57-a97c-4a32-8c27-9e8bca360fc0,10,10,4,1,1,1,1,1,1
8 GPU,1,bb697d41-b517-4a44-9055-7678a1d5b4fa,27,27,8,1,1,1,1,1,1
8 GPU,1,51b03c0c-4ea7-43c9-8517-1b18912fb533,16,16,5,1,1,1,1,1,1
8 GPU,1,1e0fbb73-a6f8-4ce3-96be-44d143938f6b,16,16,2,1,1,1,1,1,1
8 GPU,1,9eb37465-f4bc-4171-9ded-bb283057fd2b,21,21,9,1,1,1,1,1,1
8 GPU,1,3e702f46-efb7-413b-bf5a-c2cc011a3970,3,3,1,1,1,1,1,1,1
8 GPU,1,20ddbda9-7d46-4f92-a138-f4ae9c90048a,19,19,10,1,1,1,1,1,1
8 GPU,1,74c00f4e-7e4d-4231-80d2-a6f42aa75f6f,28,28,14,1,1,2,1,1,1
8 GPU,1,09c8c81c-0b7e-4124-8aa1-54f20315a29c,2,2,2,1,1,1,1,1,1
8 GPU,1,1d1d7f13-b32e-4ad6-a10c-dbe9211bd58b,1,1,1,1,1,1,1,1,1
8 GPU,1,28a4bb10-5ca4-477f-be84-67e8caaf95f7,16,16,5,1,1,1,1,1,1
8 GPU,1,7f0cc44e-70a9-49b5-bcf2-2926123a348d,1,1,1,1,1,1,1,1,1
8 GPU,1,3772874c-9aeb-41cb-b115-70104768bfd7,19,19,7,1,1,1,1,1,1
8 GPU,1,5958cf77-e882-42ca-bead-4eb69dea63b2,19,19,9,1,1,1,1,1,1
8 GPU,1,fd930c41-5166-45f5-bcb9-bf76943cf215,20,20,9,1,1,1,1,1,1
8 GPU,1,ab58f40a-98b2-4033-bf33-445f6c779f4a,20,20,2,1,1,1,1,1,1
8 GPU,1,7c6baad4-ad87-4b33-bbef-efa5b02c26d2,45,45,18,1,1,1,1,1,1
8 GPU,1,e884359d-8232-4592-94d9-5761192db0a9,4,4,2,1,1,1,1,1,1
8 GPU,1,34d83d05-bba0-469c-ae63-a1a85515f202,22,22,7,1,1,1,1,1,1
8 GPU,1,0eec529b-0400-4d9f-8181-90ff42c060d9,1,1,1,1,1,1,1,1,1
8 GPU,1,d421f97a-caa8-45b2-9e59-50611312ac59,38,38,1,1,1,1,1,1,1
8 GPU,1,cb3de3b1-84d0-459d-96b3-ffb0ee4b8391,23,23,12,1,1,1,1,1,1
8 GPU,1,04a49150-4d3e-4303-881d-e7474f2dcdcd,63,63,23,1,1,1,1,1,1
8 GPU,1,81b62903-7d45-4d0b-816b-842e2bed77b0,65,65,27,1,1,1,1,1,1
8 GPU,1,b92e3100-4912-4fc0-a20a-93d45ab0c4c4,23,23,2,1,1,1,1,1,1
8 GPU,1,40948d00-e506-4e23-b38b-cf075f4e1155,92,92,21,1,1,1,1,1,1
8 GPU,1,7a8fb49f-0489-4b34-a096-816380d89f51,5,5,3,1,1,1,1,1,1
8 GPU,1,a191b3a7-4f9e-46b6-843f-4536cf17dad0,36,36,10,1,1,1,1,1,1
8 GPU,1,5d79ff1c-0bea-44d3-b8da-23082659c2fb,3,3,1,1,1,1,1,1,1
8 GPU,1,035ae716-aed3-42a2-a0ab-42eb69838ec9,13,13,5,1,1,1,1,1,1
8 GPU,1,b6ac7d08-464f-4506-8b0e-484c75eaf9e3,8,8,3,1,1,1,1,1,1
8 GPU,1,e93b4fa8-1f70-4f47-a27c-e4922b414e25,17,17,6,1,1,1,1,1,1
8 GPU,1,f11d99cd-509a-4a36-a29b-067dc7341718,10,10,1,1,1,1,1,1,1
8 GPU,1,a9e4569b-4c3e-4dcb-aae6-ad940ffffab8,8,8,2,1,1,1,1,1,1
8 GPU,1,7e120ce0-4e2f-41f9-9870-5709818bda17,14,14,6,1,1,1,1,1,1
8 GPU,1,832cbd64-b5c3-44d2-9a7e-a3649d7f02ef,1,0,1,0,0,0,1,1,1
8 GPU,1,57110388-dcbc-4000-89aa-7a6bff17e3a5,5,5,2,1,1,1,1,1,1
8 GPU,1,6a994057-8c80-4c33-bd87-2dbfa02d4cf4,34,34,15,1,1,1,1,1,1
8 GPU,1,632b6fa0-f739-47af-aa5f-0f50846b191c,9,9,4,1,1,1,1,1,1
8 GPU,1,d967b9be-ff9d-422c-88df-e8da2282cb52,15,15,9,1,1,1,1,1,1
8 GPU,1,998eae35-07b4-4869-b49d-438a3d67aa5f,30,30,4,1,1,1,1,1,1
8 GPU,1,6cfcd30d-9d95-4963-ba21-b3726651fdf0,7,7,2,1,1,1,1,1,1
8 GPU,1,a8f86938-d76b-4215-8e29-03bb15a31814,38,38,9,1,1,1,1,1,1
8 GPU,1,4e747d4d-65f3-4a9c-a45e-5d617904826f,49,49,18,1,1,1,1,1,1
8 GPU,1,0af21b62-91bd-48b2-8597-65ed3aa667c9,51,51,13,1,1,1,1,1,1
8 GPU,1,fd6e0ead-2210-4d7b-918b-7d24a45e052c,4,4,2,1,1,1,1,1,1
8 GPU,1,27fbdd65-8ef2-4dba-905a-1219bfd6abe8,6,6,2,1,1,1,1,1,1
8 GPU,1,0b8d7372-6682-4248-bd57-18d26d61a5a1,1,0,1,0,0,0,1,1,1
8 GPU,1,4221c33b-b5c6-4f16-8cd0-23befebf1579,6,6,2,1,1,1,1,1,1
8 GPU,1,726e7e70-8fd0-4406-abe3-5e0fcb1a84a4,13,13,8,1,1,1,1,1,1
8 GPU,1,f905a15f-57c3-4764-b7cb-e3cfe94bc66e,6,6,3,1,1,1,1,1,1
8 GPU,1,3e712d70-803f-4d27-b199-937721498dad,4,4,3,1,1,1,1,1,1
8 GPU,1,61935c96-51d9-4cb1-a4d4-d8db410ae5f5,37,37,6,1,1,1,1,1,1
8 GPU,1,1565269f-aae5-4db0-87bb-80a44a6570e2,11,11,2,1,1,1,1,1,1
8 GPU,1,108188f4-23ad-4943-85d0-b5f09f31b1a3,57,57,11,1,1,1,1,1,1
8 GPU,1,61514229-bf85-4d88-85b4-cb260c85e08f,5,5,4,1,1,1,1,1,1
8 GPU,1,b0c723d3-bd26-46fb-a1ee-9eccb7bd6439,4,4,3,1,1,1,1,1,1
8 GPU,1,41bd705b-57e7-4e94-b47d-d22bd8753c7c,5,5,2,1,1,1,1,1,1
8 GPU,1,374baa8f-67cf-4b94-b80b-8bbc0f1e643b,68,68,2,1,1,1,1,1,1
8 GPU,1,ab0ea084-fd9c-4a7a-9569-00a0c9ede479,17,17,3,1,1,1,1,1,1
8 GPU,1,947e8a31-ab98-49ef-b171-c08418e2bbdd,39,39,4,1,1,1,1,1,1
8 GPU,1,5d75ad72-7b01-49e0-b228-f4a85a5dbb16,3,3,0,1,1,1,0,0,0
8 GPU,1,71458f17-67d0-4f38-a300-fcdff068a7c3,25,25,3,1,1,1,1,1,1
8 GPU,1,2c0fd41a-cb61-4bd2-8461-aac52f049a31,3,3,1,1,1,1,1,1,1
8 GPU,1,f0ac5301-edbc-4693-a057-c2a1074474bf,24,24,3,1,1,1,1,1,1
8 GPU,1,eeeb60cb-6a40-40ba-874b-5c881864c313,26,26,7,1,1,1,1,1,1
8 GPU,1,40eb709c-092b-4439-b551-d46eb996c7ed,51,51,10,1,1,1,1,1,1
8 GPU,1,f767201a-ec40-4a07-85a1-bfc7350e2db2,14,14,2,1,1,1,1,1,1
8 GPU,1,8aebd91b-f202-403c-912a-fac9690fde94,21,21,5,1,1,1,1,1,1
8 GPU,1,19903e55-bc41-4eb3-a78f-90a31d0a5a92,49,49,5,1,1,1,1,1,1
8 GPU,1,403c6eb6-5494-4eb6-8392-5c1866a9e929,5,5,4,1,1,1,1,1,1
8 GPU,1,4aedf0e0-9a5e-4185-ac7d-8a1c161c361b,40,40,6,1,1,1,1,1,1
8 GPU,1,5f6dad11-f267-42da-9a41-b0be97a96cea,3,3,3,1,1,1,1,1,1
8 GPU,1,f0698d51-30c2-4e44-ac05-07e10dfb57b2,13,13,6,1,1,1,1,1,1
8 GPU,1,b9cbb483-c42c-4143-90fb-45f70b845e44,2,2,1,1,1,1,1,1,1
8 GPU,1,5146015e-b344-4ec1-b83d-269b80b9f557,42,42,4,1,1,1,1,1,1
8 GPU,1,eba9bbd4-16c4-4084-8b67-fd20aed3341e,41,41,8,1,1,1,1,1,1
8 GPU,1,f832e224-3985-48e2-b55a-3aa137af1463,20,20,1,1,1,1,1,1,1
8 GPU,1,3b255642-7470-464d-bda6-a104be2e398c,14,14,5,1,1,1,1,1,1
8 GPU,1,79cba5f6-0c67-40c4-a5bd-44dd85498e06,25,25,7,1,1,1,1,1,1
8 GPU,1,3a33c5c9-82ac-4dea-b6c3-8279f7fdc022,6,6,3,1,1,1,1,1,1
8 GPU,1,eda83391-cc57-4f8a-bb9e-c8c787e8d1cb,13,13,0,1,1,1,0,0,0
8 GPU,1,11e786eb-bfaa-48c7-af6f-543b448bf5ea,8,8,4,1,1,1,1,1,1
8 GPU,1,86c05034-3355-4743-9362-8f52d3af6c95,17,17,1,1,1,1,1,1,1
8 GPU,1,fcc6198f-fcde-47d5-898b-2412244d0eb2,47,47,5,1,1,1,1,1,1
8 GPU,1,583f6538-92a9-429c-ba41-7bd85eebd11f,9,9,4,1,1,1,1,1,1
8 GPU,1,3497eb71-03fb-4298-b922-a8e719995457,4,4,2,1,1,1,1,1,1
8 GPU,1,916979db-f176-4278-a1c9-a0cc13bf1ebf,2,2,1,1,1,1,1,1,1
8 GPU,1,f227b220-edf9-4f7c-b65f-e0ffcc932ac2,31,31,4,1,1,1,1,1,1
8 GPU,1,2e7ffacf-6fc3-4b1e-a4d8-98cbc5107019,62,62,40,1,1,1,1,1,1
8 GPU,1,c2c1ac71-0796-4ab3-864d-7acb1d64202c,86,86,28,1,1,1,1,1,1
8 GPU,1,62f45b80-5467-41b6-936f-0371f7ab6790,11,11,1,1,1,1,1,1,1
8 GPU,1,8f3326c4-5c46-43f6-9756-12a15467818a,18,18,7,1,1,1,1,1,1
8 GPU,1,0fa8bbb1-ae9f-49ad-9c93-83f26c0588ee,33,33,6,1,1,1,1,1,1
8 GPU,1,85fb7eb0-fc5b-489a-b2d1-7e7b4c66f9c3,1,1,1,1,1,1,1,1,1
8 GPU,1,402963aa-3cd5-4c96-81e9-e5d02ae6df0e,13,13,3,1,1,1,1,1,1
8 GPU,1,2fe6e989-bb7d-4550-b43a-fb880f20c637,46,46,5,1,1,1,1,1,1
8 GPU,1,93a86945-ffd0-4f2b-9e02-90683e6a7bf7,3,3,2,1,1,1,1,1,1
8 GPU,1,2d42277c-a2dc-44f3-83f7-db7e47d2a1a0,19,19,7,1,1,1,1,1,1
8 GPU,1,5a0601bc-2069-4d64-96bc-da9d52201771,42,42,3,1,1,1,1,1,1
8 GPU,1,66684e17-5c2d-454f-ad30-3538d07ab951,11,11,3,1,1,1,1,1,1
8 GPU,2,1a5ded0e-5b88-4ab3-a484-568b7845575f,4,4,3,1,1,1,1,1,1
8 GPU,2,0dd9f44a-5cd1-4c1d-a477-adb4a456c2bb,5,5,2,1,1,1,1,1,1
8 GPU,2,7c74d50a-a7f7-46d9-969c-e35dd856fc53,2,1,1,1,1,1,1,1,1
8 GPU,2,5687a422-1077-43b9-be85-0b94c59128c2,17,17,5,1,1,1,1,1,1
